,index,title,address,price,lat,long,restaurants,shopping,vibrant,cycling_friendly,car_friendly,historic,quiet,elementary_schools,high_schools,parks,nightlife,groceries,daycares,pedestrian_friendly,cafes,transit_friendly,greenery,year_built,population_2016_,population_variation_between_2011_2016_,population_density_,unemployment_rate_2016_,"less_than_$50,000_(%)","between_$50,000_and_$80,000_(%)","between_$80,000_and_$100,000_(%)","between_$100,000_and_$150,000_(%)","more_than_$150,000_(%)",1-person_households_(%),2-person_households_(%),3-person_households_(%),4-person_households_(%),5-person_or_more_households_(%),couples_without_children_at_home_(%),couples_with_children_at_home_(%),single-parent_families_(%),owners_(%),renters_(%),before_1960_(%),between_1961_and_1980_(%),between_1981_and_1990_(%),between_1991_and_2000_(%),between_2001_and_2010_(%),between_2011_and_2016_(%),single-family_homes_(%),semi-detached_or_row_houses_(%),buildings_with_less_than_5_floors_(%),buildings_with_5_or_more_floors_(%),mobile_homes_(%),university_(%),college_(%),secondary_(high)_school_(%),apprentice_or_trade_school_diploma_(%),no_diploma_(%),non-immigrant_population_(%),immigrant_population_(%),french_(%),english_(%),others_languages_(%),walk_score,rooms,bedrooms,basement_bedroom,bathrooms,powder_rooms,total_area,new_area_from_price,new_area_from_rooms,river_proximity,has_pool,n_parking,has_garage,is_devided,mr_distance
1582,2569,Condo for sale,"150, Rue Berlioz, apt. 159, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",395000,45.461014,-73.540386,4.0,4.0,2.0,8.0,9.0,0.0,10.0,7.0,1.0,8,1.0,6.0,5.0,4.0,3.0,4.0,7.0,1978.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,34.0,5.0,2.0,False,2.0,1.0,1125.0,1125.0,1125.0,True,True,1.0,True,1,6.609887729517357
1583,2571,Condo for sale,"1110, boulevard René-Lévesque Est, apt. 301, Montréal (Ville-Marie), Neighbourhood Central",467000,45.5169,-73.554336,10.0,10.0,10.0,10.0,6.0,7.0,3.0,6.0,4.0,10,10.0,10.0,8.0,10.0,10.0,10.0,5.0,2012.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,89.0,5.0,1.0,False,1.0,0.0,840.0,840.0,840.0,False,False,0.0,False,1,3.6763229499686427
1584,2574,Condo for sale,"5827, Rue de Terrebonne, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",649000,45.47430215,-73.62875873,8.0,8.0,5.0,6.0,6.0,5.0,9.0,10.0,9.0,9,4.0,9.0,10.0,10.0,5.0,8.0,8.0,1931.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,75.0,9.0,3.0,False,1.0,0.0,1294.0,1294.0,1294.0,False,False,1.0,True,0,4.126493546567585
1585,2575,Condo for sale,"185, Rue du Séminaire, apt. 1007, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",429000,45.49108047,-73.56081119,10.0,10.0,9.0,9.0,5.0,6.0,7.0,7.0,4.0,10,9.0,10.0,8.0,10.0,10.0,9.0,5.0,2013.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,70.0,6.0,1.0,False,1.0,0.0,589.0,589.0,589.0,False,True,1.0,True,1,3.2701719265097666
1586,2576,Condo for sale,"1200, Rue Saint-Alexandre, apt. 517, Montréal (Ville-Marie), Neighbourhood Central West",509000,45.50463,-73.566429,10.0,10.0,10.0,6.0,5.0,7.0,3.0,7.0,7.0,10,10.0,10.0,10.0,10.0,10.0,10.0,4.0,1963.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,98.0,4.0,2.0,False,1.0,0.0,776.0,776.0,776.0,False,True,1.0,True,1,2.468483949975715
1587,2577,Condo for sale,"10150, Place de l'Acadie, apt. 308, Montréal (Ahuntsic-Cartierville), Neighbourhood Nouveau Bordeaux",275000,45.53264,-73.680645,6.0,8.0,3.0,3.0,8.0,0.0,2.0,7.0,6.0,10,2.0,9.0,9.0,6.0,6.0,7.0,4.0,2014.0,134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,41.0,3.0,1.0,False,1.0,0.0,547.0,547.0,547.0,False,False,1.0,True,1,7.148977463146254
1588,2578,Condo for sale,"1414, Rue Chomedey, apt. 545, Montréal (Ville-Marie), Neighbourhood Central West",699000,45.490749,-73.583543,10.0,10.0,10.0,5.0,4.0,7.0,3.0,10.0,10.0,10,10.0,10.0,9.0,10.0,10.0,10.0,5.0,2012.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,95.0,5.0,2.0,False,2.0,0.0,941.0,941.0,941.0,False,True,1.0,True,1,1.9092876489719672
1589,2579,Condo for sale,"1200, Rue Saint-Jacques, apt. 1905, Montréal (Ville-Marie), Neighbourhood Central",389000,45.49492,-73.566155,10.0,10.0,10.0,7.0,6.0,6.0,4.0,9.0,7.0,10,10.0,10.0,8.0,10.0,10.0,10.0,4.0,2006.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,4.0,1.0,False,1.0,0.0,620.0,620.0,620.0,False,True,0.0,False,1,2.710827736058784
1590,2580,Condo for sale,"8542, Avenue André-Grasset, Montréal (Ahuntsic-Cartierville), Neighbourhood Ahuntsic Central",424900,45.55406,-73.627898,8.0,9.0,5.0,6.0,7.0,0.0,9.0,7.0,7.0,8,4.0,8.0,5.0,9.0,6.0,8.0,7.0,1984.0,134245,6,5545,10,49,23,9,11,9,41,27,13,12,7,34,46,20,39,61,37,33,14,6,6,4,9,5,73,13,0,36,16,20,10,17,59,41,65.0,10.0,25.0,58.0,6.0,1.0,False,1.0,0.0,922.0,922.0,922.0,False,False,1.0,True,1,5.973753277405637
1591,2583,Condo for sale,"1310A, Rue Sherbrooke Est, Montréal (Ville-Marie), Neighbourhood Central",535000,45.52391189,-73.56481836,10.0,10.0,10.0,10.0,4.0,7.0,3.0,10.0,8.0,10,10.0,10.0,6.0,10.0,10.0,10.0,7.0,1929.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,87.0,8.0,3.0,False,1.0,0.0,1295.0,1295.0,1295.0,False,False,1.0,False,1,3.37020686025053
1592,2584,Loft / Studio for sale,"4975, Rue Jean-Talon Ouest, apt. 1202, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",495000,45.49698854,-73.64994889,8.0,9.0,4.0,3.0,9.0,0.0,0.0,8.0,7.0,8,4.0,9.0,6.0,9.0,5.0,9.0,4.0,2012.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,66.0,5.0,2.0,False,2.0,0.0,1018.0,1018.0,1018.0,False,True,1.0,True,1,4.127319168787453
1593,2586,Condo for sale,"420, Chemin de la Rive-Boisée, apt. 406, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East",339000,45.498906,-73.853509,5.0,4.0,2.0,4.0,9.0,2.0,9.0,7.0,5.0,7,4.0,8.0,6.0,5.0,4.0,4.0,6.0,2014.0,69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,39.0,5.0,2.0,False,2.0,0.0,924.0,924.0,924.0,True,False,1.0,True,1,19.914936080999198
1594,2589,Condo for sale,"200, Avenue des Sommets, apt. PH1-1, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",1750000,45.450053,-73.54818,3.0,3.0,1.0,7.0,9.0,0.0,9.0,8.0,0.0,9,0.0,2.0,5.0,3.0,1.0,5.0,6.0,2004.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,14.0,6.0,3.0,False,2.0,1.0,2168.0,2168.0,2168.0,True,True,2.0,True,1,7.202930943777698
1595,2590,Condo for sale,"5374, Avenue Papineau, apt. 301, Montréal (Le Plateau-Mont-Royal), Neighbourhood Le Plateau-Mont-Royal",680000,45.5372391,-73.58449962,10.0,10.0,10.0,10.0,6.0,6.0,1.0,8.0,7.0,10,9.0,10.0,6.0,10.0,9.0,9.0,5.0,2018.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,78.0,10.0,3.0,False,1.0,0.0,1052.0,1052.0,1052.0,False,False,1.0,True,1,3.7854919250976864
1596,2592,Condo for sale,"1700, boulevard René-Lévesque Ouest, apt. 1007, Montréal (Ville-Marie), Neighbourhood Central West",449000,45.492666,-73.575747,10.0,10.0,10.0,4.0,4.0,7.0,0.0,8.0,10.0,10,10.0,9.0,9.0,10.0,10.0,10.0,5.0,2004.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,90.0,4.0,1.0,False,1.0,0.0,820.0,820.0,820.0,False,False,0.0,False,1,2.1873600714855885
1597,2593,Condo for sale,"3685, Rue Fleury Est, apt. 107, Montréal (Montréal-Nord)",202944,45.58343682,-73.63841295,7.0,7.0,4.0,5.0,7.0,2.0,6.0,10.0,10.0,7,4.0,10.0,10.0,10.0,5.0,8.0,4.0,2020.0,84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,62.0,5.0,1.0,False,1.0,0.0,670.0,670.0,670.0,False,False,1.0,True,1,9.315855799777351
1598,2594,Condo for sale,"3685, Rue Fleury Est, apt. 106, Montréal (Montréal-Nord)",184865,45.565281,-73.65539091,7.0,8.0,5.0,7.0,7.0,4.0,6.0,9.0,9.0,10,4.0,10.0,10.0,10.0,6.0,8.0,7.0,2020.0,84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,71.0,5.0,1.0,False,1.0,0.0,670.0,670.0,670.0,False,False,0.0,False,1,8.093326523587319
1599,2595,Condo for sale,"1188, Rue Saint-Antoine Ouest, apt. PH11, Montréal (Ville-Marie), Neighbourhood Central",1495000,45.49581298,-73.56762417,10.0,10.0,10.0,6.0,4.0,6.0,0.0,9.0,7.0,10,10.0,9.0,8.0,10.0,10.0,10.0,5.0,2019.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,94.0,5.0,2.0,False,2.0,1.0,1283.0,1283.0,1283.0,False,True,2.0,True,1,2.566792430049207
1600,2596,Condo for sale,"3685, Rue Fleury Est, apt. 103, Montréal (Montréal-Nord)",184865,45.5834731,-73.63840886,7.0,7.0,4.0,5.0,7.0,2.0,6.0,10.0,10.0,7,4.0,10.0,10.0,10.0,5.0,8.0,4.0,2020.0,84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,62.0,5.0,1.0,False,1.0,0.0,670.0,670.0,670.0,False,False,0.0,False,1,9.31954649959759
1601,2597,Condo for sale,"315, Rue Richmond, apt. 106, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",720000,45.48815658,-73.56549574,10.0,10.0,8.0,9.0,5.0,6.0,7.0,9.0,5.0,10,8.0,8.0,8.0,10.0,9.0,9.0,6.0,2019.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,74.0,7.0,2.0,False,2.0,0.0,1041.0,1041.0,1041.0,False,False,1.0,True,1,3.128140975477486
1602,2598,Condo for sale,"7000, Rue Allard, apt. 445, Montréal (LaSalle)",329000,45.448313,-73.605995,7.0,9.0,4.0,5.0,8.0,3.0,8.0,7.0,3.0,9,3.0,9.0,5.0,8.0,5.0,9.0,4.0,2012.0,76853,3,4675,10,48,25,10,11,6,36,30,15,12,6,34,43,23,40,60,25,50,10,7,4,3,4,8,85,4,0,25,17,26,12,20,63,37,42.0,36.0,22.0,51.0,4.0,1.0,False,1.0,0.0,570.0,570.0,570.0,False,False,81.0,True,1,6.284238814974742
1603,2599,Condo for sale,"57, Avenue Mozart Ouest, apt. 1, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Little Italy",500000,45.532681,-73.616312,10.0,10.0,9.0,10.0,6.0,6.0,3.0,9.0,5.0,10,10.0,9.0,8.0,10.0,9.0,10.0,5.0,2010.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,90.0,7.0,3.0,False,1.0,1.0,871.0,871.0,871.0,False,False,0.0,False,1,3.433969148984418
1604,2601,Condo for sale,"20, Avenue Manseau, apt. 1, Montréal (Outremont)",925000,45.52222747,-73.61708326,10.0,10.0,7.0,7.0,5.0,5.0,4.0,10.0,10.0,10,6.0,9.0,10.0,7.0,8.0,9.0,6.0,1999.0,23954,2,6254,6,29,19,9,15,27,33,30,14,13,10,34,50,16,54,46,73,16,4,4,2,1,8,14,59,19,0,59,14,15,3,10,74,26,61.0,19.0,20.0,68.0,10.0,3.0,True,2.0,0.0,1708.0,1708.0,1708.0,False,False,1.0,False,1,2.4592039270865724
1605,2604,Condo for sale,"2190, Rue Préfontaine, apt. 107, Montréal (Mercier/Hochelaga-Maisonneuve), Neighbourhood Hochelaga-Maisonneuve",334900,45.540783,-73.550348,9.0,8.0,7.0,9.0,5.0,6.0,7.0,9.0,7.0,8,7.0,9.0,8.0,10.0,7.0,9.0,8.0,2013.0,136024,3,5347,9,52,24,9,11,5,45,32,12,8,4,42,35,23,34,66,43,31,10,5,7,4,5,5,86,4,0,29,17,21,14,20,79,21,85.0,5.0,10.0,76.0,5.0,1.0,False,1.0,0.0,738.0,738.0,738.0,False,False,1.0,True,1,5.483428895808831
1606,2605,Condo for sale,"250, Chemin de la Pointe-Sud, apt. 103, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",750000,45.448126,-73.553541,2.0,3.0,1.0,6.0,10.0,0.0,9.0,7.0,0.0,8,0.0,2.0,4.0,3.0,1.0,5.0,3.0,2008.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,10.0,7.0,2.0,False,2.0,0.0,1111.0,1111.0,1111.0,False,True,1.0,True,1,7.172614716021955
1607,2606,Condo for sale,"1225, Rue Notre-Dame Ouest, apt. 403, Montréal (Ville-Marie), Neighbourhood Central",359000,45.49380917,-73.56439508,10.0,10.0,10.0,9.0,5.0,6.0,5.0,9.0,5.0,10,10.0,10.0,10.0,10.0,10.0,10.0,3.0,2005.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,87.0,5.0,1.0,False,1.0,0.0,525.0,525.0,525.0,False,False,1.0,True,1,2.886278827621309
1608,2607,Condo for sale,"4100, Avenue Benny, apt. 214, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",308800,45.464628,-73.63168436,7.0,8.0,5.0,6.0,8.0,4.0,4.0,9.0,9.0,8,4.0,10.0,8.0,10.0,6.0,9.0,8.0,2009.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,68.0,4.0,1.0,False,1.0,0.0,602.0,602.0,602.0,False,False,1.0,True,1,5.154227779281199
1609,2608,Condo for sale,"800, Rue Gordon, apt. 305, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Verdun",269000,45.46113701,-73.57443837,8.0,8.0,5.0,10.0,6.0,5.0,8.0,9.0,4.0,9,4.0,10.0,8.0,10.0,5.0,9.0,6.0,2010.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,80.0,4.0,1.0,False,1.0,0.0,586.0,586.0,586.0,False,False,0.0,False,1,5.168599184149768
1610,2610,Condo for sale,"235, Rue Peel, apt. 1811, Montréal (Le Sud-Ouest), Neighbourhood Griffintown",595000,45.494234,-73.559037,10.0,10.0,10.0,10.0,5.0,7.0,2.0,9.0,3.0,10,9.0,10.0,10.0,10.0,10.0,10.0,3.0,2016.0,80153,9,5070,8,50,22,9,11,7,46,32,11,7,4,44,32,24,35,65,43,18,11,5,10,13,2,7,71,20,0,38,16,19,9,18,74,26,59.0,26.0,15.0,79.0,9.0,2.0,False,2.0,0.0,837.0,837.0,837.0,False,False,0.0,False,1,3.2540002723222035
1612,2613,Condo for sale,"13319, boulevard de Pierrefonds, Montréal (Pierrefonds-Roxboro), Neighbourhood Pierrefonds/Central East",189000,45.49637684,-73.84598563,5.0,4.0,2.0,5.0,8.0,1.0,7.0,7.0,10.0,7,3.0,8.0,10.0,5.0,4.0,5.0,4.0,2012.0,69297,1,2547,8,33,24,12,19,13,24,28,18,19,11,30,53,17,70,30,16,39,18,11,13,3,51,13,31,5,0,32,20,25,9,15,59,41,30.0,45.0,25.0,52.0,8.0,1.0,True,1.0,0.0,1260.0,1260.0,1260.0,False,False,1.0,False,1,19.340521118363135
1613,2616,Condo for sale,"201, Chemin du Club-Marin, apt. 1806, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",549000,45.460465,-73.555649,4.0,4.0,2.0,8.0,10.0,0.0,9.0,4.0,1.0,10,1.0,9.0,6.0,5.0,3.0,5.0,8.0,1990.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,20.0,8.0,2.0,False,2.0,0.0,1070.0,1070.0,1070.0,True,True,2.0,True,1,5.915465093695064
1614,2621,Condo for sale,"100, Rue André-Prévost, apt. 1404, Montréal (Verdun/Île-des-Soeurs), Neighbourhood Île-des-Soeurs",839000,45.44908492,-73.55992137,2.0,3.0,1.0,6.0,10.0,0.0,10.0,4.0,0.0,6,0.0,1.0,1.0,3.0,1.0,2.0,4.0,2013.0,69229,5,7181,8,45,22,9,12,11,42,34,13,8,3,46,36,18,37,63,46,21,13,8,9,4,3,7,69,21,0,43,16,18,9,14,75,25,64.0,22.0,14.0,11.0,6.0,3.0,False,2.0,1.0,1400.0,1400.0,1400.0,True,True,2.0,True,1,6.8490800973849995
1615,2622,Condo for sale,"415, Rue des Récollets, apt. 102, Montréal (Ville-Marie), Neighbourhood Old Montréal",499000,45.5012818,-73.55859995,10.0,10.0,10.0,6.0,5.0,9.0,3.0,9.0,4.0,9,10.0,9.0,6.0,10.0,10.0,10.0,3.0,1913.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,91.0,6.0,1.0,False,1.0,0.0,941.0,941.0,941.0,False,False,0.0,False,1,3.1001547321483485
1616,2623,Condo for sale,"6961, Avenue Henri-Julien, Montréal (Rosemont/La Petite-Patrie), Neighbourhood Little Italy",324900,45.53589269,-73.61255082,10.0,10.0,9.0,10.0,3.0,6.0,7.0,10.0,6.0,10,8.0,10.0,10.0,10.0,10.0,10.0,5.0,1966.0,139590,4,8741,8,52,22,9,11,7,49,29,11,8,3,43,36,21,30,70,52,24,9,5,5,4,2,3,89,6,0,41,17,17,10,15,77,23,83.0,6.0,11.0,94.0,6.0,1.0,True,1.0,0.0,743.0,743.0,743.0,False,False,0.0,False,0,3.6616505362655167
1617,2624,Condo for sale,"1455, Rue Sherbrooke Ouest, apt. 406, Montréal (Ville-Marie), Neighbourhood Golden Square Mile",650000,45.49795633,-73.58039729,10.0,10.0,10.0,6.0,6.0,7.0,1.0,8.0,10.0,10,10.0,10.0,6.0,10.0,10.0,10.0,5.0,1966.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,97.0,5.0,1.0,False,1.0,1.0,1123.0,1123.0,1123.0,False,False,0.0,False,0,1.5630299158676546
1618,2625,Condo for sale,"225, Rue Bernard Ouest, apt. 202, Montréal (Le Plateau-Mont-Royal), Neighbourhood Mile-End",449000,45.52468593,-73.60477908,10.0,10.0,10.0,10.0,2.0,7.0,5.0,10.0,9.0,10,9.0,10.0,10.0,10.0,10.0,9.0,4.0,2007.0,104000,4,12855,8,52,20,8,11,8,52,30,10,6,2,52,32,16,28,72,57,23,7,5,5,2,1,2,82,16,0,57,14,16,5,8,73,27,67.0,23.0,10.0,93.0,8.0,2.0,False,1.0,0.0,762.0,762.0,762.0,False,False,0.0,False,1,2.2978694281693706
1619,2629,Condo for sale,"2435, Rue des Nations, apt. 405, Montréal (Saint-Laurent), Neighbourhood New Saint-Laurent/Bois-Franc",545000,45.51435393,-73.71024846,6.0,7.0,3.0,7.0,7.0,0.0,4.0,3.0,3.0,10,2.0,9.0,6.0,6.0,6.0,6.0,4.0,2011.0,98828,5,2299,10,42,24,10,13,12,28,27,17,17,11,29,53,18,49,51,27,31,12,9,16,6,11,15,45,30,0,39,16,21,7,17,45,55,37.0,25.0,38.0,45.0,7.0,2.0,False,2.0,0.0,1035.0,1035.0,1035.0,False,False,1.0,True,1,8.806434284497733
1620,2630,Condo for sale,"4639, Avenue Earnscliffe, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Côte-des-Neiges",689000,45.480431,-73.626556,9.0,9.0,5.0,3.0,6.0,5.0,3.0,10.0,10.0,10,4.0,10.0,9.0,10.0,6.0,9.0,9.0,1926.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,79.0,4.0,2.0,False,2.0,0.0,1140.0,1140.0,1140.0,False,False,2.0,True,0,3.4807103161132593
1621,2634,Condo for sale,"2303, Rue D'Iberville, Montréal (Ville-Marie), Neighbourhood Central",339900,45.534408,-73.557284,10.0,10.0,9.0,9.0,6.0,6.0,5.0,10.0,8.0,10,8.0,10.0,9.0,10.0,8.0,9.0,6.0,1910.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,85.0,7.0,2.0,False,1.0,0.0,920.0,920.0,920.0,False,False,0.0,True,0,4.596954239734256
1622,2636,Condo for sale,"6950, Chemin de la Côte-Saint-Luc, apt. 906, Montréal (Côte-des-Neiges/Notre-Dame-de-Grâce), Neighbourhood Notre-Dame-de-Grâce",439900,45.46731405,-73.65187204,7.0,7.0,4.0,5.0,8.0,0.0,4.0,10.0,8.0,9,3.0,9.0,9.0,10.0,6.0,7.0,6.0,1982.0,166011,1,7718,11,54,21,8,9,9,40,29,15,11,6,33,45,22,27,73,51,30,8,5,4,3,3,6,69,22,0,47,16,19,6,12,50,50,33.0,39.0,28.0,60.0,10.0,2.0,False,1.0,1.0,969.0,969.0,969.0,False,True,1.0,True,1,5.892303214551437
1623,2637,Condo for sale,"3685, Rue Fleury Est, apt. 102, Montréal (Montréal-Nord)",202944,45.58344284,-73.638398,7.0,7.0,4.0,5.0,7.0,2.0,6.0,10.0,10.0,7,4.0,10.0,10.0,10.0,5.0,8.0,4.0,2020.0,84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,62.0,5.0,1.0,False,1.0,0.0,670.0,670.0,670.0,False,False,1.0,True,1,9.316093768054147
1624,2638,Condo for sale,"3685, Rue Fleury Est, apt. 216, Montréal (Montréal-Nord)",322510,45.5834301,-73.63841091,7.0,7.0,4.0,5.0,7.0,2.0,6.0,10.0,10.0,7,4.0,10.0,10.0,10.0,5.0,8.0,4.0,2020.0,84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,62.0,9.0,3.0,False,1.0,1.0,1363.0,1363.0,1363.0,False,False,1.0,True,1,9.315098800858506
1625,2639,Condo for sale,"3685, Rue Fleury Est, apt. 211, Montréal (Montréal-Nord)",313614,45.58343133,-73.63837656,7.0,7.0,4.0,5.0,7.0,2.0,6.0,10.0,10.0,7,4.0,10.0,10.0,10.0,5.0,8.0,4.0,2020.0,84234,0,7637,12,59,24,7,7,2,37,28,15,12,9,28,42,30,28,72,28,52,11,4,3,2,8,5,77,10,0,15,13,23,18,31,58,42,67.0,8.0,25.0,62.0,9.0,2.0,False,1.0,1.0,1363.0,1363.0,1363.0,False,False,1.0,True,1,9.314326481213039
1626,2640,Condo for sale,"1188, Rue Saint-Antoine Ouest, apt. 4804, Montréal (Ville-Marie), Neighbourhood Central",899000,45.49581298,-73.56772073,10.0,10.0,10.0,4.0,6.0,6.0,0.0,8.0,7.0,10,10.0,9.0,6.0,8.0,10.0,10.0,3.0,2019.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,94.0,7.0,2.0,False,2.0,0.0,944.0,944.0,944.0,False,True,1.0,True,1,2.559829200074785
1627,2643,Condo for sale,"405, Rue de la Concorde, apt. 1501, Montréal (Ville-Marie), Neighbourhood Central",620000,45.507093,-73.570825,10.0,10.0,10.0,8.0,4.0,7.0,5.0,9.0,9.0,10,10.0,10.0,8.0,10.0,10.0,10.0,3.0,2016.0,87168,6,6414,10,58,18,7,8,9,55,31,9,4,2,57,26,17,27,73,33,28,11,8,13,8,1,2,48,49,0,52,15,18,6,9,63,37,54.0,26.0,20.0,99.0,4.0,2.0,False,1.0,1.0,762.0,762.0,762.0,False,False,1.0,True,1,2.144459876820475
